,time,name,country,place,marathon,day,month,year,gender,seconds
0,2:19:57,Rita Jeptoo,KEN,1,Chicago,13,OCT,2013,F,8397
1,2:20:15,Priscah Jeptoo,KEN,1,London,21,APR,2013,F,8415
2,2:20:48,Jemima Jelegat,KEN,2,Chicago,13,OCT,2013,F,8448
3,2:21:05,Feyse Tadesse,ETH,1,Paris,7,APR,2013,F,8465
4,2:21:13,Florence Kiplagat,KEN,1,Berlin,29,SEP,2013,F,8473
5,2:21:32,Edna Kiplagat,KEN,2,London,21,APR,2013,F,8492
6,2:22:34,Caroline Kilel,KEN,1,Frankfurt,27,OCT,2013,F,8554
7,2:22:46,Maria Konovalova,RUS,3,Chicago,13,OCT,2013,F,8566
8,2:23:00,Flomena Chepchirchir,KEN,2,Frankfurt,27,OCT,2013,F,8580
9,2:23:01,Birhane Dibaba,ETH,3,Frankfurt,27,OCT,2013,F,8581
10,2:23:02,Valentine Kipketer,KEN,1,Amsterdam,20,OCT,2013,F,8582
11,2:23:14,Merima Mohamed,ETH,2,Paris,7,APR,2013,F,8594
12,2:23:23,Tirfi Tsegaye,ETH,1,Dubai,25,JAN,2013,F,8603
13,2:23:23,Mamitu Daska,ETH,4,Frankfurt,27,OCT,2013,F,8603
14,2:23:27,Jelegat,KEN,1,Rotterdam,14,APR,2013,F,8607
15,2:23:28,Margaret Agai,KEN,1,Daegu,14,APR,2013,F,8608
16,2:23:28,Sharon Cherop,KEN,2,Berlin,29,SEP,2013,F,8608
17,2:23:28,Aberu Kebede,ETH,1,Shanghai,1,DEC,2013,F,8608
18,2:23:34,Ryoko Kizaki,JPN,1,Nagoya,10,MAR,2013,F,8614
19,2:23:34,Eunice Kirwa Jepkirui,KEN,3,Paris,7,APR,2013,F,8614
20,2:23:37,Mohammed,ETH,1,Houston,13,JAN,2013,F,8617
21,2:23:39,Ehitu Kiros,ETH,2,Dubai,25,JAN,2013,F,8619
22,2:23:43,Mulu Seboka,ETH,2,Daegu,14,APR,2013,F,8623
23,2:23:44,Aliaksandra Duliba,BLR,4,Chicago,13,OCT,2013,F,8624
24,2:23:45,Eunice Jepkirui Kirwa,KEN,5,Frankfurt,27,OCT,2013,F,8625
25,2:23:50,Amane Gobena,ETH,3,Dubai,25,JAN,2013,F,8630
26,2:23:51,Birhane Dibaba,ETH,2,Nagoya,10,MAR,2013,F,8631
27,2:23:57,Tatiana Gamera-Shmyrko,UKR,1,Osaka,27,JAN,2013,F,8637
28,2:23:59,Abebech Afework,ETH,2,Rotterdam,14,APR,2013,F,8639
29,2:24:03,Agnes Barsosio,KEN,3,Daegu,14,APR,2013,F,8643
30,2:24:05,Mizuko Noguchi,JPN,3,Nagoya,10,MAR,2013,F,8645
31,2:24:06,Yeshi Esayias,ETH,6,Frankfurt,27,OCT,2013,F,8646
32,2:24:21,Kayoko Fukushi,JPN,2,Osaka,27,JAN,2013,F,8661
33,2:24:26,Bizunesh Deba,ETH,2,Houston,13,JAN,2013,F,8666
34,2:24:30,Aheza Kiros,ETH,4,Dubai,25,JAN,2013,F,8670
35,2:24:33,V Kipketer,KEN,1,Mumbai,20,JAN,2013,F,8673
36,2:24:34,Flomena Cheych,KEN,1,Vienna,14,APR,2013,F,8674
37,2:24:40,Helena Kirop,KEN,1,Rome,17,MAR,2013,F,8680
38,2:24:43,Yukiko Akaba,JPN,3,London,21,APR,2013,F,8683
39,2:24:54,Irina Mikitenko,GER,3,Berlin,29,SEP,2013,F,8694
40,2:25:01,Belaynesh Oljira,ETH,5,Dubai,25,JAN,2013,F,8701
41,2:25:07,P Jeptoo,KEN,1,New York,3,NOV,2013,F,8707
42,2:25:09,Dinknesh Tefera,ETH,4,Paris,7,APR,2013,F,8709
43,2:25:13,Flomina Cheyech,KEN,1,Toronto,20,OCT,2013,F,8713
44,2:25:15,Getnet Selomie Kassa,ETH,2,Rome,17,MAR,2013,F,8715
45,2:25:17,Meskerem Assefa,ETH,2,Houston,13,JAN,2013,F,8717
46,2:25:22,Agnes Kiprop,ETH,5,Paris,7,APR,2013,F,8722
47,2:25:31,Yeshi Esayias,ETH,1,Ottawa,26,MAY,2013,F,8731
48,2:25:34,Aberu Kebede,ETH,1,Tokyo,24,FEB,2013,F,8734
49,2:25:43,Philomena Chepchirchir,KEN,1,Seoul,17,MAR,2013,F,8743
50,2:25:44,Lisa Stublic,CRO,1,Zurich,7,MAR,2013,F,8744
51,2:25:45,Misiker Mekonin,ETH,2,Ottawa,26,MAY,2013,F,8745
52,2:25:45,Kiplagat,KRN,1,Moscow,10,AUG,2013,F,8745
53,2:25:46,Jelena Prokopcuka,LAT,4,Nagoya,10,MAR,2013,F,8746
54,2:25:46,Meselech Melkamu,ETH,5,London,21,APR,2013,F,8746
55,2:25:47,Shitaye Bedasa,ETH,6,Dubai,25,JAN,2013,F,8747
56,2:25:53,Emebet Etea,ETH,2,Seoul,17,MAR,2013,F,8753
57,2:25:55,Albina Mayorova,RUS,1,Yokohama,17,NOV,2013,F,8755
58,2:25:56,Yuko Watanabe,JPN,3,Osaka,27,JAN,2013,F,8756
59,2:25:56,Bizunesh Deba,ETH,2,New York,3,NOV,2013,F,8756
60,2:25:58,Valeria Straneo,ITA,2,Moscow,10,AUG,2013,F,8758
61,2:25:58,Risper Kimaiyo,KEN,1,Edinburgh,26,MAY,2013,F,8758
62,2:26:01,Esayias,ETH,2,Tokyo,24,FEB,2013,F,8761
63,2:26:05,Isabella Anderson,SWE,7,Dubai,25,JAN,2013,F,8765
64,2:26:05,Lisa Weightman,AUS,1,Melbourne,13,OCT,2013,F,8765
65,2:26:07,Aberu Mekuria Zennebe,ETH,1,Hengshui,21,SEP,2013,F,8767
66,2:26:15,Meseret Legese Regesa,ETH,2,Hengshui,21,SEP,2013,F,8775
67,2:26:17,Eri Hayakawa,JPN,5,Nagoya,10,MAR,2013,F,8777
68,2:26:18,Yeshimebet Tadese Bifa,ETH,3,Seoul,17,MAR,2013,F,8778
69,2:26:20,Mestawet Tufa,ETH,6,Nagoya,10,MAR,2013,F,8780
70,2:26:24,Gisaw Melkam,ETH,1,Dusseldorf,28,APR,2013,F,8784
71,2:26:30,Mohammed,ETH,2,Shanghai,1,DEC,2013,F,8790
72,2:26:32,Mi-Gyong Kim,PRK,1,Pyongyang,14,APR,2013,F,8792
73,2:26:34,Ashu Kasim,ETH,3,Shanghai,1,DEC,2013,F,8794
74,2:26:41,Mari Ozaki,JPN,4,Osaka,27,JAN,2013,F,8801
75,2:26:41,Irina Mikitenko,GER,3,Tokyo,24,FEB,2013,F,8801
76,2:26:42,Hilda Kibet,NED,3,Rotterdam,14,APR,2013,F,8802
77,2:26:42,Atsede Baysa,ETH,5,Chicago,13,OCT,2013,F,8802
78,2:26:43,Sechale Adugna,ETH,2,Toronto,20,OCT,2013,F,8803
79,2:26:44,Karolina Jarzynski,POL,1,Lodz,14,APR,2013,F,8804
80,2:26:51,Albina Mayorova,RUS,4,Tokyo,24,FEB,2013,F,8811
81,2:26:57,Tirfi Tsegaye Beyene,ETH,7,Frankfurt,27,OCT,2013,F,8817
82,2:27:00,Caroline Rotich,KEN,1,Prague,12,MAY,2013,F,8820
83,2:27:01,Azalech Masresha,ETH,1,Valencia,17,NOV,2013,F,8821
84,2:27:03,Alessandra Aguilar,ESP,4,Rotterdam,14,APR,2013,F,8823
85,2:27:05,Florence Kiplagat,KEN,6,London,21,APR,2013,F,8825
86,2:27:07,Elena Burkovska,UKR,1,Hannover,5,MAY,2013,F,8827
87,2:27:08,Abebech Afework,ETH,8,Dubai,25,JAN,2013,F,8828
88,2:27:10,Sultan Haydar,TUR,3,Rome,17,MAR,2013,F,8830
89,2:27:17,Yoko Miyauchi,JPN,7,Nagoya,10,MAR,2013,F,8837
90,2:27:17,Yukiko Akaba,JPN,1,Gold Coast,7,JUL,2013,F,8837
91,2:27:19,Eunice Kales,KEN,2,Melbourne,13,OCT,2013,F,8839
92,2:27:21,Sung-eun Kim,KOR,4,Seoul,17,MAR,2013,F,8841
93,2:27:27,Caroline Chepkwony,KEN,1,Ljubljana,27,OCT,2013,F,8847
94,2:27:31,Sechale Delasa,ETH,3,Ottawa,26,MAY,2013,F,8851
95,2:27:35,Fatuma Sado,ETH,1,Xiamen,5,JAN,2013,F,8855
96,2:27:42,Ehitu Kiros,ETH,6,Chicago,13,OCT,2013,F,8862
97,2:27:44,Netsanet Achamo,ETH,4,Ottawa,26,MAY,2013,F,8864
98,2:27:45,Kayoko Fukushi,JPN,3,Moscow,10,AUG,2013,F,8865
99,2:27:47,Ashere Bekere Dido,ETH,1,Kosice,6,OCT,2013,F,8867
0,2:19:25,Gladys CHERONO,KEN,1,Berlin,27,SEP,2015,F,8365
1,2:19:52,Mare DIBABA,ETH,1,Xiamen,3,JAN,2015,F,8392
2,2:20:02,Aselefech MERGIA,ETH,1,Dubai,23,JAN,2015,F,8402
3,2:20:03,Gladys CHERONO,KEN,2,Dubai,23,JAN,2015,F,8403
4,2:20:21,Lucy Wangui KABUU,KEN,3,Dubai,23,JAN,2015,F,8421
5,2:20:48,Aberu KEBEDE,ETH,2,Berlin,27,SEP,2015,F,8448
6,2:20:59,Shure DEMISE,ETH,4,Dubai,23,JAN,2015,F,8459
7,2:21:17,Aberu KEBEDE,ETH,5,Dubai,23,JAN,2015,F,8477
8,2:21:56,Mulu SEBOKA,ETH,6,Dubai,23,JAN,2015,F,8516
9,2:22:08,Eunice Jepkirui KIRWA,BRN,1,Nagoya,8,MAR,2015,F,8528
10,2:22:09,Tetiana SHMYRKO,UKR,1,Osaka,25,JAN,2015,F,8529
11,2:22:48,Sairi MAEDA,JPN,2,Nagoya,8,MAR,2015,F,8568
12,2:22:51,Tadelech BEKELE,ETH,7,Dubai,23,JAN,2015,F,8571
13,2:23:06,Aliaksandra DULIBA,BLR,8,Dubai,23,JAN,2015,F,8586
14,2:23:12,Gulume Tollesa CHALA,ETH,1,Frankfurt,25,OCT,2015,F,8592
15,2:23:12,Dinknesh MEKASH,ETH,2,Frankfurt,25,OCT,2015,F,8592
16,2:23:15,Birhane DIBABA,ETH,1,Tokyo,22,FEB,2015,F,8595
17,2:23:22,Tigist TUFA,ETH,1,London,26,APR,2015,F,8602
18,2:23:23,Yebrqual MELESE,ETH,1,Houston,18,JAN,2015,F,8603
19,2:23:26,Meseret MENGISTU,ETH,1,Paris,12,APR,2015,F,8606
20,2:23:30,Amane GOBENA,ETH,2,Paris,12,APR,2015,F,8610
21,2:23:32,Guteni SHONE,ETH,2,Houston,18,JAN,2015,F,8612
22,2:23:33,Abebech AFEWORK,ETH,9,Dubai,23,JAN,2015,F,8613
23,2:23:33,Florence KIPLAGAT,KEN,1,Chicago,11,OCT,2015,F,8613
24,2:23:37,Shure DEMISE,ETH,1,Toronto,18,OCT,2015,F,8617
25,2:23:40,Mary KEITANY,KEN,2,London,26,APR,2015,F,8620
26,2:23:41,Tirfi TSEGAYE,ETH,3,London,26,APR,2015,F,8621
27,2:23:43,Ashete BEKELE,ETH,10,Dubai,23,JAN,2015,F,8623
28,2:23:43,Yebrgual MELESE,ETH,2,Chicago,11,OCT,2015,F,8623
29,2:23:49,Yebrgual MELESE,ETH,1,Prague,3,MAY,2015,F,8629
30,2:23:51,Biruktayit ESHETU,ETH,3,Houston,18,JAN,2015,F,8631
31,2:23:52,Koren YAL,ETH,3,Frankfurt,25,OCT,2015,F,8632
32,2:23:53,Aselefech MERGIA,ETH,4,London,26,APR,2015,F,8633
33,2:24:03,Helah KIPROP,KEN,2,Tokyo,22,FEB,2015,F,8643
34,2:24:07,Jelena PROKOPCUKA,LAT,2,Osaka,25,JAN,2015,F,8647
35,2:24:11,Joyce CHEPKIRUI,KEN,1,Amsterdam,18,OCT,2015,F,8651
36,2:24:15,Florence KIPLAGAT,KEN,5,London,26,APR,2015,F,8655
37,2:24:16,Sharon CHEROP,KEN,2,Toronto,18,OCT,2015,F,8656
38,2:24:16,Fatuma SADO,ETH,2,Toronto,18,OCT,2015,F,8656
39,2:24:23,Jemima SUMGONG,KEN,6,London,26,APR,2015,F,8663
40,2:24:24,Birhane DIBABA,ETH,3,Chicago,11,OCT,2015,F,8664
41,2:24:25,Kayoko FUKUSHI,JPN,4,Chicago,11,OCT,2015,F,8665
42,2:24:25,Mary KEITANY,KEN,1,New York,1,NOV,2015,F,8665
43,2:24:26,Tiki GELANA,ETH,3,Tokyo,22,FEB,2015,F,8666
44,2:24:29,Betelhem MOGES,ETH,11,Dubai,23,JAN,2015,F,8669
45,2:24:33,Meserest HAILU,ETH,3,Berlin,27,SEP,2015,F,8673
46,2:24:38,Flomena CHEYCH,KEN,2,Amsterdam,18,OCT,2015,F,8678
47,2:24:38,Sardana TROFIMOVA,RUS,4,Frankfurt,25,OCT,2015,F,8678
48,2:24:40,Mulu SEBOKA,ETH,5,Chicago,11,OCT,2015,F,8680
49,2:24:42,Visiline JEPKESHO,KEN,3,Paris,12,APR,2015,F,8682
50,2:24:42,Mai ITO,JPN,3,Nagoya,8,MAR,2015,F,8682
51,2:24:44,Sultan HAYDAR,TUR,12,Dubai,23,JAN,2015,F,8684
52,2:24:49,Sara MOREIRA,POR,2,Prague,3,MAY,2015,F,8689
53,2:25:01,Priscah JEPTOO,KEN,7,London,26,APR,2015,F,8701
54,2:25:01,Tadelech BEKELE,ETH,4,Berlin,27,SEP,2015,F,8701
55,2:25:09,Purity RIONORIPO,KEN,1,Lisbon,18,OCT,2015,F,8709
56,2:25:11,Meskerem ASSEFA,ETH,6,Chicago,11,OCT,2015,F,8711
57,2:25:15,Ana Dulce FELIX,POR,8,London,26,APR,2015,F,8715
58,2:25:22,Rebecca KANGOGO,KEN,13,Dubai,23,JAN,2015,F,8722
59,2:25:24,Letebrhan HAYLAY,ETH,3,Prague,3,MAY,2015,F,8724
60,2:25:30,Aberu MEKURIA,ETH,1,Ottawa,24,MAY,2015,F,8730
61,2:25:32,Aselefech Mergia,ETH,2,New York,1,NOV,2015,F,8732
62,2:25:36,Volha MAZURONAK,BLR,9,London,26,APR,2015,F,8736
63,2:25:41,Meseret HAILU,ETH,1,Hamburg,26,APR,2015,F,8741
64,2:25:41,Rebecca Kangogo CHESIR,KEN,2,Ottawa,24,MAY,2015,F,8741
65,2:25:42,Melkam GIZAW,ETH,1,Ljubljana,25,OCT,2015,F,8742
66,2:25:50,Tigist Tufa,ETH,3,New York,1,NOV,2015,F,8750
67,2:25:46,Agnes Jepkemboi KIPROP,KEN,1,Hengshui,26,SEP,2015,F,8746
68,2:25:53,Abebech AFEWORK,ETH,3,Ottawa,24,MAY,2015,F,8753
69,2:25:53,Sara Moreira,POR,4,New York,1,NOV,2015,F,8753
70,2:25:58,MEKURIA,ETH,14,Dubai,23,JAN,2015,F,8758
71,2:25:58,Meskere ASSEFA,ETH,4,Paris,12,APR,2015,F,8758
72,2:25:59,Marta LEMA,ETH,2,Hengshui,26,SEP,2015,F,8759
73,2:26:14,Fantu ETICHA,ETH,15,Dubai,23,JAN,2015,F,8774
74,2:26:12,Agnes Jepkemboi KIPROP,KEN,4,Ottawa,24,MAY,2015,F,8772
75,2:26:16,Sylvia KIBET,KEN,2,Hamburg,26,APR,2015,F,8776
76,2:26:20,LEMA,ETH,5,Paris,12,APR,2015,F,8780
77,2:26:22,SHONE,ETH,1,Seoul,15,MAR,2015,F,8782
78,2:26:23,Rael KIYARA,KEN,1,Shanghai,8,NOV,2015,F,8783
79,2:26:25,Fatuma SADO,ETH,1,Warsaw,26,APR,2015,F,8785
80,2:26:30,Asami KATO,JPN,1,Rotterdam,12,APR,2015,F,8790
81,2:26:31,Janet RONO,KEN,4,Prague,3,MAY,2015,F,8791
82,2:26:33,Rkia EL MKOUM,MAR,10,London,26,APR,2015,F,8793
83,2:26:39,Risa SHIGETOMO,JPN,3,Osaka,25,JAN,2015,F,8799
84,2:26:43,Selly Kaptich CHEPYEGO,KEN,4,Tokyo,22,FEB,2015,F,8803
85,2:26:45,Meselech MELKAMU,ETH,5,Ottawa,24,SEP,2015,F,8805
86,2:26:46,Andrea DEELSTRA,NED,5,Berlin,27,SEP,2015,F,8806
87,2:26:48,Biruktayit ESHETU,ETH,6,Paris,12,APR,2015,F,8808
88,2:26:49,Maja NEUENSCWANDER,SUI,6,Berlin,27,SEP,2015,F,8809
89,2:26:54,Flomena CHEYCH,KEN,5,Tokyo,22,FEB,2015,F,8814
90,2:26:54,Changqin DING,CHN,1,Chongqing,22,MAR,2015,F,8814
91,2:26:55,Ashete BEKERE,ETH,5,Prague,3,MAY,2015,F,8815
92,2:26:57,Christelle DAUNAY,FRA,5,New York,1,NOV,2015,F,8817
93,2:26:57,Beata NAIGAMBO,NAM,1,Valencia,15,NOV,2015,F,8817
94,2:27:03,Priscah JEPTOO,KEN,6,New York,1,NOV,2015,F,8823
95,2:27:06,Mercy KIBARUS,KEN,2,Warsaw,26,APR,2015,F,8826
96,2:27:08,Lucy KARIMI,KEN,16,Dubai,23,JAN,2015,F,8828
97,2:27:12,Sechale DALASA,ETH,4,Houston,18,JAN,2015,F,8832
98,2:27:14,Yeshi ESAYIAS,ETH,6,Ottawa,24,MAY,2015,F,8834
99,2:27:16,Edna KIPLAGAT,KEN,11,London,26,APR,2015,F,8836
0,2:18:11,Gladys CHERONO,KEN,1,Berlin,16,SEP,2018,F,8291
1,2:18:31,Vivian CHERUIYOT,KEN,1,London,22,APR,2018,F,8311
2,2:18:34,Ruti AGA,ETH,2,Berlin,16,SEP,2018,F,8314
3,2:18:35,Brigid KOSGEI,KEN,1,Chicago,7,OCT,2018,F,8315
4,2:18:35,Ruth CHEPNGETICH,KEN,1,Istanbul,11,NOV,2018,F,8315
5,2:18:55,Tirunesh DIBABA,ETH,3,Berlin,16,SEP,2018,F,8335
6,2:19:17,Roza DEREJE,ETH,1,Dubai,26,JAN,2018,F,8357
7,2:19:30,Feyse TADESE,ETH,2,Dubai,26,JAN,2018,F,8370
8,2:19:36,Yebrgual MELESE,ETH,3,Dubai,26,JAN,2018,F,8376
9,2:19:51,Berhane DIBABA,ETH,1,Tokyo,25,FEB,2018,F,8391
10,2:19:56,Worknesh DEGEFA,ETH,4,Dubai,26,JAN,2018,F,8396
11,2:20:13,Haftamnesh TESFAY,ETH,5,Dubai,26,JAN,2018,F,8413
12,2:20:13,Brigid KOSGEI,KEN,2,London,22,APR,2018,F,8413
13,2:20:36,Meskerem ASSEFA,ETH,1,Frankfurt,28,OCT,2018,F,8436
14,2:20:37,Yebrgual MELESE,ETH,1,Shanghai,18,NOV,2018,F,8437
15,2:20:45,Gelete BURKA,ETH,6,Dubai,26,JAN,2018,F,8445
16,2:20:47,Haftamnesh TESFAY,ETH,2,Frankfurt,28,OCT,2018,F,8447
17,2:21:14,Ashete DIDO,ETH,1,Valencia,2,DEC,2018,F,8474
18,2:21:18,Edna KIPLAGAT,KEN,4,Berlin,16,SEP,2018,F,8478
19,2:21:18,DEREJE,ETH,2,Chicago,7,OCT,2018,F,8478
20,2:21:19,AGA,ETH,2,Tokyo,25,FEB,2018,F,8479
21,2:21:32,Bedatu HIRPA,ETH,3,Frankfurt,28,OCT,2018,F,8492
22,2:21:38,Valary AYABEI,KEN,1,Beijing,16,SEP,2018,F,8498
23,2:21:40,Tadelech BEKELE,ETH,3,London,22,APR,2018,F,8500
24,2:21:42,Amy CRAGG,USA,3,Tokyo,25,FEB,2018,F,8502
25,2:21:45,Dera DIDA,ETH,7,Dubai,26,JAN,2018,F,8505
26,2:21:45,Meskerem ASSEFA,ETH,1,Nagoya,11,MAR,2018,F,8505
27,2:21:51,Azmera ABREHA,ETH,2,Shanghai,18,NOV,2018,F,8511
28,2:21:53,Belaynesh OLJIRA,ETH,4,Frankfurt,28,OCT,2018,F,8513
29,2:22:07,Gelete BURKA,ETH,1,Ottawa,27,MAY,2018,F,8527
30,2:22:10,Lydia CHEROMEI,KEN,2,Valencia,2,DEC,2018,F,8530
31,2:22:15,Shure DEMISE,ETH,3,Chicago,7,OCT,2018,F,8535
32,2:22:17,DEMISE,ETH,4,Tokyo,25,FEB,2018,F,8537
33,2:22:23,Mizuki MATSUDA,JPN,5,Berlin,16,SEP,2018,F,8543
34,2:22:29,Mimi BELETE,ETH,1,Toronto,21,OCT,2018,F,8549
35,2:22:35,Marta MEGRA,ETH,2,Toronto,21,OCT,2018,F,8555
36,2:22:39,Dera DIDA,ETH,5,Frankfurt,28,OCT,2018,F,8559
37,2:22:44,Mizuki MATSUDA,JPN,1,Osaka,28,JAN,2018,F,8564
38,2:22:45,Sintayehu LEWETEGN,ETH,6,Frankfurt,28,OCT,2018,F,8565
39,2:22:46,Nancy Jepkosgei KIPROP,KEN,7,Frankfurt,28,OCT,2018,F,8566
40,2:22:48,Valary JEMELI,KEN,2,Nagoya,11,MAR,2018,F,8568
41,2:22:48,Helen TOLA,ETH,6,Berlin,16,SEP,2018,F,8568
42,2:22:48,Mary KEITANY,KEN,1,New York,4,NOV,2018,F,8568
43,2:22:55,Betsy SAINA,KEN,1,Paris,8,APR,2018,F,8575
44,2:22:58,Visiline JEPKESHO,KEN,1,Ljubljana,28,OCT,2018,F,8578
45,2:22:59,Ruth CHEPNGETICH,KEN,2,Paris,8,APR,2018,F,8579
46,2:23:06,Gulume CHALA,ETH,3,Paris,8,APR,2018,F,8586
47,2:23:07,Hanami SEKINE,JPN,3,Nagoya,11,MAR,2018,F,8587
48,2:23:14,Tadelech BEKELE,ETH,1,Amsterdam,21,OCT,2018,F,8594
49,2:23:15,Sally KIPYEGO,KEN,2,Ljubljana,28,OCT,2018,F,8595
50,2:23:27,Ashete BEKELE,ETH,4,Paris,8,APR,2018,F,8607
51,2:23:28,Shasho INSERMU,ETH,2,Amsterdam,21,OCT,2018,F,8608
52,2:23:29,Ruth CHEBITOK,KEN,3,Toronto,21,OCT,2018,F,8609
53,2:23:31,Azmera GEBRU,ETH,3,Amsterdam,21,OCT,2018,F,8611
54,2:23:34,Dibabe KUMA,ETH,3,Ljubljana,28,OCT,2018,F,8614
55,2:23:37,Tinbit WELDEGEBRIL,ETH,3,Valencia,2,DEC,2018,F,8617
56,2:23:39,Desi JISA,BRN,4,Amsterdam,21,OCT,2018,F,8619
57,2:23:40,Betty LEMPUS,KEN,3,Shanghai,18,NOV,2018,F,8620
58,2:23:43,Stella BARSOSIO,KEN,5,Paris,8,APR,2018,F,8623
59,2:23:46,Rahma TUSA,ETH,1,Roma,8,APR,2018,F,8626
60,2:23:46,Linet MASAI,KEN,5,Amsterdam,21,OCT,2018,F,8626
61,2:23:47,Visiline JEPKESHO,KEN,1,Rotterdam,8,APR,2018,F,8627
62,2:23:48,Honami MAEDA,JPN,2,Osaka,28,JAN,2018,F,8628
63,2:23:54,Afera GODFAY,ETH,4,Shanghai,18,NOV,2018,F,8634
64,2:24:05,JISA,BRN,8,Dubai,26,JAN,2018,F,8645
65,2:24:08,Marta MEGRA,ETH,6,Paris,8,APR,2018,F,8648
66,2:24:08,Hirut TIBEBU,ETH,1,Seoul,18,MAR,2018,F,8648
